,Application,Perf_node01_task_clock,Perf_node01_cpu_bus_cycles_,Perf_node01_cpu_cpu_cycles_,Perf_node01_msr_aperf_,Perf_node01_msr_mperf_,Perf_node01_msr_tsc_,Perf_node01_cpu_ref_cycles_,Perf_node01_power_energy_pkg_,a,Perf_node01_power_energy_ram_,b,Perf_node01_power_energy_total_,c
857,BT,11,11,11,11,11,11,11,3,2,3,1,3,2
858,BT,10,10,10,10,10,10,10,0,3,0,3,0,3
859,BT,10,10,10,10,10,11,11,2,0,1,0,2,0
860,BT,11,11,11,11,11,11,11,3,2,3,1,3,2
861,BT,10,10,10,10,10,10,10,0,3,0,3,0,3
862,BT,10,10,10,11,11,11,11,2,0,1,0,2,0
863,BT,11,11,11,11,11,11,11,3,2,3,1,3,2
864,BT,10,10,10,10,10,10,10,0,3,0,3,0,3
865,BT,10,10,10,11,11,11,11,2,0,2,0,2,0
866,BT,11,11,11,11,11,11,11,3,2,3,2,3,2
867,BT,10,10,10,10,10,10,10,0,3,0,3,0,3
868,BT,10,10,10,10,11,11,11,2,0,2,0,2,0
869,BT,11,11,11,11,11,11,11,3,2,3,2,3,2
870,BT,10,10,10,10,10,10,10,0,3,0,3,0,3
871,BT,10,10,10,10,11,11,11,2,0,1,0,2,0
872,BT,11,11,11,11,11,11,11,3,2,3,1,3,2
873,BT,10,10,10,10,10,10,10,0,3,0,3,0,3
874,BT,10,10,10,11,11,11,11,2,0,1,0,2,0
875,BT,11,11,11,11,11,11,11,3,2,3,1,3,2
876,BT,10,10,10,10,10,10,10,0,3,0,3,0,3
877,BT,10,10,10,11,11,11,11,2,0,0,0,2,0
878,BT,11,11,11,11,11,11,11,3,2,3,0,3,2
879,BT,10,10,10,10,10,10,10,0,3,1,3,0,3
880,BT,10,10,11,11,11,11,11,2,0,2,1,2,0
881,BT,11,11,11,11,11,11,11,3,2,3,2,3,2
882,BT,10,10,10,10,10,10,10,0,3,0,3,0,3
883,BT,10,10,10,10,11,11,11,2,0,2,0,2,0
884,BT,11,11,11,11,11,11,11,3,2,3,2,3,2
885,BT,10,10,10,10,10,10,10,0,3,0,3,0,3
886,BT,10,10,10,10,11,11,11,2,0,1,0,2,0
887,BT,11,11,11,11,11,11,11,3,2,3,1,3,2
888,BT,10,10,10,10,10,10,10,0,3,1,3,0,3
889,BT,10,10,10,10,11,11,11,2,0,1,1,2,0
890,BT,11,11,11,11,11,11,11,3,2,3,1,3,2
891,BT,10,10,10,10,10,10,10,0,3,1,3,0,3
892,BT,10,10,10,10,11,11,11,2,0,0,1,2,0
893,BT,11,11,11,11,11,11,11,3,2,3,0,3,2
894,BT,10,10,10,10,10,10,10,0,3,0,3,0,3
895,BT,10,10,10,10,10,11,11,2,0,0,0,2,0
896,BT,11,11,11,11,11,11,11,3,2,3,0,3,2
897,BT,10,10,10,10,10,10,10,0,3,0,3,0,3
898,BT,10,10,10,10,10,11,11,2,0,1,0,2,0
899,BT,11,11,11,11,11,11,11,3,2,3,1,3,2
900,BT,10,10,10,10,10,10,10,0,3,0,3,0,3
901,BT,10,10,10,10,10,11,11,2,0,2,0,2,0
902,BT,11,11,11,11,11,11,11,3,2,3,2,3,2
903,BT,10,10,10,10,10,10,10,0,3,0,3,0,3
904,BT,10,10,10,11,11,11,11,2,0,1,0,2,0
905,BT,11,11,11,11,11,11,11,3,2,3,1,3,2
906,BT,10,10,10,10,10,10,10,0,3,0,3,0,3
907,BT,10,10,10,11,11,11,11,2,0,2,0,2,0
908,BT,11,11,11,11,11,11,11,3,2,3,2,3,2
909,BT,10,10,10,10,10,10,10,0,3,1,3,0,3
910,BT,10,10,10,11,11,11,11,2,0,1,1,2,0
911,BT,11,11,11,11,11,11,11,3,2,3,1,3,2
912,BT,10,10,10,10,10,10,10,0,3,0,3,0,3
913,BT,10,10,10,11,11,11,11,2,0,2,0,2,0
914,BT,11,11,11,11,11,11,11,3,2,3,2,3,2
915,BT,10,10,10,10,10,10,10,0,3,0,3,0,3
916,BT,10,10,10,11,11,11,11,2,0,3,0,2,0
917,BT,11,11,11,11,11,11,11,3,2,3,3,3,2
918,BT,10,10,10,10,10,10,10,0,3,0,3,0,3
919,BT,10,10,10,10,10,10,11,1,0,0,0,1,0
920,BT,11,11,11,11,11,11,11,3,1,3,0,3,1
921,BT,11,10,10,10,10,10,10,0,3,1,3,0,3
922,BT,10,10,10,10,10,10,10,2,0,0,1,1,0
923,BT,11,11,11,11,11,11,11,2,2,3,0,2,1
924,BT,11,11,11,11,10,10,10,0,2,2,3,1,2
925,BT,10,10,10,10,10,10,10,2,0,1,2,2,1
926,BT,10,10,10,10,10,10,11,2,2,1,1,1,2
927,BT,11,11,11,11,11,11,11,2,2,3,1,2,1
928,BT,10,10,10,10,10,10,10,1,2,0,3,1,2
929,BT,10,11,11,11,11,11,11,2,1,3,0,2,1
930,BT,11,11,11,11,11,11,11,3,2,3,3,3,2
931,BT,10,10,10,10,10,10,10,0,3,0,3,0,3
932,BT,10,10,10,10,10,10,11,2,0,1,0,2,0
933,BT,11,11,11,11,11,11,11,3,2,3,1,3,2
934,BT,10,10,10,10,10,10,10,0,3,0,3,0,3
935,BT,10,10,10,10,10,10,10,2,0,1,0,2,0
936,BT,11,11,11,11,11,11,11,3,2,3,1,3,2
937,BT,10,10,10,10,10,10,10,0,3,0,3,0,3
938,BT,10,10,10,10,10,10,10,1,0,0,0,1,0
939,BT,11,11,11,11,11,11,11,3,1,3,0,3,1
940,BT,10,10,10,10,10,10,10,0,3,0,3,0,3
941,BT,10,10,10,10,10,10,10,1,0,0,0,1,0
942,BT,11,11,11,11,11,11,11,3,1,3,0,3,1
943,BT,10,10,10,10,10,10,10,0,3,0,3,0,3
944,BT,10,10,10,10,10,10,10,1,0,0,0,1,0
945,BT,11,11,11,11,11,11,11,3,1,3,0,3,1
946,BT,10,10,10,10,10,10,10,0,3,1,3,0,3
947,BT,10,10,10,10,10,10,10,1,0,0,1,1,0
948,BT,11,11,11,11,11,11,11,3,1,3,0,3,1
949,BT,10,10,10,10,10,10,10,0,3,1,3,0,3
950,BT,10,10,10,10,10,11,11,2,0,1,1,2,0
951,BT,11,11,11,11,11,11,11,3,2,3,1,3,2
952,BT,10,10,10,10,10,10,10,0,3,0,3,0,3
953,BT,10,10,10,10,10,11,11,2,0,1,0,2,0
954,BT,11,11,11,11,11,11,11,3,2,3,1,3,2
955,BT,10,10,10,10,10,10,10,0,3,0,3,0,3
956,BT,10,10,10,10,10,11,11,2,0,1,0,2,0
957,BT,11,11,11,11,11,11,11,3,2,3,1,3,2
958,BT,10,10,10,10,10,10,10,0,3,0,3,0,3
959,BT,10,10,10,10,10,10,10,2,0,1,0,2,0
960,BT,11,11,11,11,11,11,11,3,2,2,1,3,2
961,BT,11,10,10,10,10,10,10,0,3,1,2,0,3
962,BT,10,10,10,10,10,10,10,2,0,0,1,2,0
963,BT,11,11,11,11,11,11,11,2,2,3,0,2,2
964,BT,11,11,11,10,10,10,11,0,2,3,3,1,2
965,BT,10,10,10,10,10,10,10,2,0,0,3,2,1
966,BT,10,11,11,11,11,10,11,2,2,1,0,2,2
967,BT,11,11,11,11,11,11,11,2,2,3,1,3,2
968,BT,10,10,10,10,10,10,10,1,2,0,3,0,3
969,BT,10,10,10,11,11,11,11,2,1,1,0,2,0
970,BT,11,11,11,11,11,11,11,3,2,3,1,3,2
971,BT,10,10,10,10,10,10,10,0,3,0,3,0,3
972,BT,10,10,10,10,10,10,11,2,0,0,0,1,0
973,BT,11,11,11,11,11,11,11,3,2,3,0,3,1
974,BT,10,10,10,10,10,10,10,0,3,0,3,0,3
975,BT,10,10,10,10,10,10,11,2,0,1,0,2,0
976,BT,11,11,11,11,11,11,11,3,2,3,1,3,2
977,BT,10,10,10,10,10,10,10,0,3,0,3,0,3
978,BT,10,10,10,10,10,10,10,2,0,0,0,1,0
979,BT,11,11,11,11,11,11,11,3,2,3,0,3,1
980,BT,11,10,10,10,10,10,10,0,3,1,3,1,3
981,BT,10,10,10,10,10,10,10,1,0,0,1,1,1
982,BT,11,11,11,11,11,11,11,3,1,3,0,3,1
983,BT,10,10,10,10,10,10,10,0,3,0,3,0,3
984,BT,10,10,10,10,10,10,10,1,0,1,0,1,0
985,BT,11,11,11,11,11,11,11,3,1,3,1,3,1
986,BT,10,10,10,10,10,10,10,0,3,1,3,0,3
987,BT,10,10,10,10,10,10,10,1,0,0,1,1,0
988,BT,11,11,11,11,11,11,11,3,1,3,0,3,1
989,BT,10,10,10,10,10,10,10,0,3,0,3,0,3
990,BT,10,10,10,10,10,10,10,1,0,1,0,1,0
991,BT,11,11,11,11,11,11,11,3,1,3,1,3,1
992,BT,11,10,10,10,10,10,10,0,3,0,3,0,3
993,BT,10,10,10,10,10,10,10,1,0,0,0,1,0
994,BT,11,11,11,11,11,11,11,3,1,3,0,3,1
995,BT,10,10,10,10,10,10,10,0,3,0,3,0,3
996,BT,10,10,10,10,10,10,10,1,0,1,0,1,0
997,BT,11,11,11,11,11,11,11,3,1,3,1,3,1
998,BT,11,10,10,10,10,10,10,0,3,1,3,0,3
999,BT,10,10,10,10,10,10,10,1,0,1,1,1,0
1000,BT,11,11,11,11,11,11,11,3,1,3,1,3,1
1001,BT,10,10,10,10,10,10,10,0,3,0,3,0,3
1002,BT,10,10,10,10,10,10,10,1,0,0,0,1,0
1003,BT,11,11,11,11,11,11,11,3,1,3,0,3,1
1004,BT,10,10,10,10,10,10,10,0,3,0,3,0,3
1005,BT,10,10,10,10,10,10,10,1,0,0,0,1,0
1006,BT,11,11,11,11,11,11,11,3,1,3,0,3,1
1007,BT,10,10,10,10,10,10,10,0,3,2,3,1,3
1008,BT,10,10,10,10,10,10,10,1,0,0,2,1,1
1009,BT,11,11,11,11,11,11,11,3,1,3,0,3,1
1010,BT,10,10,10,10,10,10,10,0,3,0,3,0,3
1011,BT,10,10,10,10,10,10,10,1,0,1,0,1,0
1012,BT,11,11,11,11,11,11,11,3,1,3,1,3,1
1013,BT,10,10,10,10,10,10,10,0,3,0,3,0,3
1014,BT,10,10,10,10,10,10,10,1,0,0,0,1,0
1015,BT,11,11,11,11,11,11,11,3,1,3,0,3,1
1016,BT,10,10,10,10,10,10,10,0,3,0,3,0,3
1017,BT,10,10,10,10,10,10,10,1,0,0,0,1,0
1018,BT,11,11,11,11,11,11,11,3,1,3,0,3,1
1019,BT,10,10,10,10,10,10,10,0,3,0,3,0,3
1020,BT,10,10,10,10,10,10,10,1,0,1,0,1,0
1021,BT,11,11,11,11,11,11,11,3,1,3,1,3,1
1022,BT,10,10,10,10,10,10,10,0,3,0,3,0,3
1023,BT,10,10,10,10,10,10,10,1,0,1,0,1,0
1024,BT,11,11,11,11,11,11,11,3,1,3,1,3,1
1025,BT,10,10,10,10,10,10,10,0,3,0,3,0,3
1026,BT,10,10,10,10,10,10,10,1,0,0,0,1,0
1027,BT,11,11,11,11,11,11,11,3,1,3,0,3,1
1028,BT,10,10,10,10,10,10,10,0,3,0,3,0,3
1029,BT,10,10,10,10,10,10,10,1,0,1,0,1,0
1030,BT,11,11,11,11,11,11,11,3,1,3,1,3,1
1031,BT,10,10,10,10,10,10,10,0,3,0,3,0,3
1032,BT,10,10,10,10,10,10,10,1,0,0,0,1,0
1033,BT,11,11,11,11,11,11,11,3,1,3,0,3,1
1034,BT,10,10,10,10,10,10,10,0,3,0,3,0,3
1035,BT,10,10,10,10,10,10,10,1,0,0,0,1,0
1036,BT,11,11,11,11,11,11,11,3,1,3,0,3,1
1037,BT,10,10,10,10,10,10,10,0,3,0,3,0,3
1038,BT,10,10,10,10,10,11,11,2,0,1,0,2,0
1039,BT,11,11,11,11,11,11,11,3,2,3,1,3,2
1040,BT,10,10,10,10,10,10,10,0,3,0,3,0,3
1041,BT,10,10,10,10,10,11,11,2,0,1,0,2,0
1042,BT,11,11,11,11,11,11,11,3,2,3,1,3,2
1043,BT,10,10,10,10,10,10,10,0,3,0,3,0,3
1044,BT,10,10,10,10,10,11,11,2,0,1,0,2,0
1045,BT,11,11,11,11,11,11,11,3,2,3,1,3,2
1046,BT,10,10,10,10,10,10,10,0,3,0,3,0,3
