,Application,Perf_node01_task_clock,Perf_node01_cpu_bus_cycles_,Perf_node01_cpu_cpu_cycles_,Perf_node01_msr_aperf_,Perf_node01_msr_mperf_,Perf_node01_msr_tsc_,Perf_node01_cpu_ref_cycles_,Perf_node01_power_energy_pkg_,Perf_node01_power_energy_ram_,Perf_node01_power_energy_total_
4080,FT,10,10,11,11,11,11,11,2,2,2
4081,FT,11,11,11,11,11,11,11,2,2,2
4082,FT,11,10,11,11,11,10,10,1,1,1
4083,FT,11,11,11,11,11,11,11,2,2,2
4084,FT,11,10,10,10,10,10,10,1,1,1
4085,FT,10,10,10,10,10,10,10,0,0,0
4086,FT,11,11,11,11,11,11,11,3,3,3
4087,FT,11,11,11,11,11,11,11,2,2,2
4088,FT,11,11,11,11,11,11,11,2,2,2
4089,FT,11,10,10,10,10,10,10,1,1,1
4090,FT,10,10,10,11,11,10,11,1,2,2
4091,FT,11,11,11,11,11,11,11,2,2,2
4092,FT,11,10,10,10,10,10,10,1,1,1
4093,FT,10,10,10,10,10,10,10,1,1,1
4094,FT,11,11,11,11,11,11,11,1,2,1
4095,FT,10,10,10,10,10,10,10,0,0,0
4096,FT,11,11,11,11,11,11,11,3,3,3
4097,FT,11,11,11,11,11,10,10,1,2,1
4098,FT,10,10,10,10,10,11,10,2,2,2
4099,FT,10,10,10,10,10,10,10,1,1,1
4100,FT,11,11,11,11,11,11,11,2,2,2
4101,FT,11,11,11,10,10,10,10,1,1,1
4102,FT,10,10,10,10,10,11,11,2,2,2
4103,FT,11,11,10,11,11,11,11,2,2,2
4104,FT,11,11,11,11,10,10,10,1,1,1
4105,FT,10,10,10,10,11,11,11,2,1,2
4106,FT,10,11,11,11,11,11,11,2,2,2
4107,FT,11,10,10,10,10,10,10,1,1,1
4108,FT,11,11,11,11,11,11,11,2,2,2
4109,FT,10,10,10,10,10,10,10,1,1,1
4110,FT,10,10,10,10,10,11,10,1,1,1
4111,FT,10,11,11,11,11,11,11,2,2,2
4112,FT,11,11,11,11,11,11,11,2,2,2
4113,FT,10,10,10,10,10,10,10,1,1,1
4114,FT,10,10,10,10,10,10,10,1,0,0
4115,FT,10,10,10,11,11,11,11,2,3,2
4116,FT,11,11,11,11,11,11,11,2,3,2
4117,FT,10,10,10,10,10,10,10,1,1,1
4118,FT,10,11,11,11,11,11,11,2,2,2
4119,FT,11,10,10,10,10,10,10,1,1,1
4120,FT,10,10,11,10,10,11,11,2,2,2
4121,FT,11,11,11,11,11,11,11,2,2,2
4122,FT,10,10,10,10,10,10,10,0,0,0
4123,FT,10,10,10,10,10,10,10,0,1,0
4124,FT,10,10,10,10,10,10,10,1,0,0
4125,FT,10,11,11,11,11,11,11,2,0,2
4126,FT,11,11,11,11,11,11,11,3,3,3
4127,FT,11,10,10,10,10,11,10,2,2,2
4128,FT,11,10,11,11,11,11,11,2,1,2
4129,FT,11,11,10,10,10,10,10,1,2,1
4130,FT,10,11,11,11,11,11,11,2,2,2
4131,FT,11,10,10,11,11,11,10,1,1,1
4132,FT,10,10,11,10,10,10,10,2,2,2
4133,FT,10,11,10,10,10,10,10,1,2,1
