,Application,variable,Perf_node01_power_energy_pkg_,a,Perf_node01_power_energy_ram_,b,Perf_node01_power_energy_total_,c
2068,CG,39,1,1,2,2,1,1
2069,CG,126,2,1,1,2,1,1
2070,CG,2,1,2,1,1,1,1
2071,CG,127,2,1,3,1,2,1
2072,CG,90,1,2,1,3,1,2
2073,CG,1,1,1,2,1,2,1
2074,CG,127,2,1,1,2,1,2
2075,CG,64,1,2,2,1,1,1
2076,CG,102,2,1,1,2,2,1
2077,CG,103,1,2,1,1,1,2
2078,CG,62,1,1,1,1,1,1
2079,CG,103,2,1,2,1,2,1
2080,CG,122,2,2,2,2,2,2
2081,CG,127,2,2,1,2,2,2
2082,CG,0,1,2,2,1,1,2
2083,CG,127,2,1,2,2,2,1
2084,CG,102,2,2,1,2,2,2
2085,CG,30,1,2,1,1,1,2
2086,CG,96,2,1,1,1,2,1
2087,CG,2,1,2,0,1,1,2
2088,CG,127,2,1,3,0,2,1
2089,CG,127,2,2,2,3,2,2
2090,CG,32,1,2,2,2,1,2
2091,CG,78,1,1,1,2,1,1
2092,CG,115,2,1,1,1,2,1
2093,CG,124,2,2,1,1,2,2
2094,CG,7,1,2,2,1,1,2
2095,CG,98,2,1,2,2,2,1
2096,CG,127,1,2,1,2,1,2
2097,CG,126,2,1,2,1,2,1
2098,CG,110,2,2,2,2,2,2
2099,CG,16,1,2,1,2,1,2
2100,CG,66,2,1,1,1,2,1
2101,CG,127,2,2,1,1,2,2
2102,CG,63,1,2,2,1,2,2
2103,CG,101,2,1,1,2,2,2
2104,CG,122,1,2,0,1,1,2
2105,CG,71,2,1,3,0,2,1
2106,CG,60,1,2,1,3,1,2
2107,CG,71,1,1,2,1,2,1
2108,CG,0,1,1,2,2,2,2
2109,CG,127,2,1,2,2,2,2
2110,CG,126,2,2,1,2,2,2
2111,CG,14,1,2,1,1,1,2
2112,CG,96,2,1,2,1,2,1
2113,CG,7,1,2,1,2,1,2
2114,CG,127,2,1,2,1,2,1
2115,CG,7,1,2,1,2,1,2
2116,CG,97,1,1,1,1,1,1
2117,CG,14,1,1,2,1,2,1
2118,CG,99,2,1,1,2,1,2
2119,CG,121,2,2,2,1,2,1
2120,CG,95,2,2,2,2,2,2
2121,CG,0,1,2,1,2,1,2
2122,CG,127,2,1,2,1,2,1
2123,CG,66,1,2,1,2,1,2
2124,CG,127,2,1,2,1,2,1
2125,CG,48,1,2,1,2,1,2
2126,CG,4,1,1,1,1,1,1
2127,CG,127,2,1,2,1,2,1
2128,CG,31,1,2,2,2,1,2
2129,CG,0,1,1,1,2,1,1
2130,CG,127,1,1,2,1,2,1
2131,CG,127,2,1,2,2,2,2
2132,CG,126,1,2,1,2,1,2
2133,CG,0,1,1,1,1,1,1
2134,CG,14,1,1,2,1,1,1
2135,CG,127,2,1,1,2,2,1
2136,CG,7,1,2,0,1,1,2
2137,CG,96,2,1,2,0,2,1
2138,CG,126,2,2,2,2,2,2
2139,CG,7,1,2,1,2,1,2
2140,CG,96,1,1,2,1,2,1
2141,CG,127,2,1,2,2,2,2
2142,CG,0,1,2,1,2,1,2
2143,CG,127,2,1,2,1,2,1
2144,CG,102,2,2,1,2,2,2
2145,CG,49,1,2,0,1,1,2
2146,CG,14,1,1,3,0,2,1
2147,CG,103,2,1,1,3,2,2
2148,CG,120,2,2,2,1,2,2
2149,CG,7,1,2,1,2,1,2
2150,CG,124,2,1,1,1,2,1
2151,CG,65,1,2,2,1,1,2
2152,CG,6,2,1,1,2,2,1
2153,CG,111,2,2,1,1,2,2
2154,CG,24,1,2,2,1,1,2
2155,CG,0,1,1,0,2,1,1
2156,CG,127,2,1,3,0,2,1
2157,CG,33,1,2,1,3,1,2
2158,CG,127,2,1,1,1,1,1
2159,CG,2,1,2,3,1,2,1
2160,CG,125,2,1,1,3,1,2
2161,CG,126,2,2,2,1,2,1
2162,CG,7,1,2,2,2,1,2
2163,CG,64,1,1,1,2,1,1
2164,CG,127,2,1,2,1,2,1
2165,CG,127,2,2,1,2,2,2
2166,CG,15,1,2,1,1,1,2
2167,CG,120,2,1,2,1,2,1
2168,CG,7,1,2,1,2,1,2
2169,CG,120,1,1,2,1,2,1
2170,CG,127,2,1,1,2,2,2
2171,CG,1,1,2,2,1,2,2
2172,CG,126,1,1,1,2,1,2
2173,CG,127,2,1,2,1,2,1
2174,CG,0,1,2,2,2,1,2
2175,CG,71,2,1,1,2,1,1
2176,CG,66,1,2,1,1,1,1
2177,CG,127,1,1,2,1,1,1
2178,CG,102,2,1,1,2,2,1
2179,CG,127,2,2,2,1,2,2
2180,CG,48,1,2,1,2,1,2
2181,CG,0,1,1,2,1,2,1
2182,CG,127,2,1,2,2,2,2
2183,CG,127,2,2,1,2,2,2
2184,CG,121,1,2,2,1,1,2
2185,CG,126,2,1,2,2,2,1
2186,CG,125,2,2,1,2,2,2
2187,CG,120,2,2,1,1,1,2
2188,CG,7,1,2,2,1,2,1
2189,CG,56,1,1,2,2,1,2
2190,CG,119,1,1,2,2,2,1
2191,CG,102,2,1,1,2,1,2
2192,CG,31,1,2,0,1,1,1
2193,CG,96,2,1,3,0,2,1
2194,CG,6,1,2,1,3,1,2
2195,CG,127,2,1,2,1,2,1
2196,CG,127,2,2,2,2,2,2
2197,CG,3,1,2,1,2,1,2
2198,CG,96,1,1,2,1,1,1
2199,CG,127,2,1,1,2,2,1
2200,CG,3,1,2,2,1,1,2
2201,CG,4,2,1,1,2,1,1
2202,CG,127,2,2,2,1,2,1
2203,CG,0,1,2,2,2,1,2
2204,CG,127,2,1,2,2,2,1
2205,CG,68,1,2,2,2,1,2
2206,CG,3,1,1,2,2,1,1
2207,CG,124,2,1,2,2,2,1
2208,CG,127,2,2,1,2,2,2
2209,CG,3,1,2,1,1,1,2
2210,CG,32,2,1,2,1,2,1
2211,CG,126,1,2,2,2,1,2
2212,CG,0,1,1,1,2,1,1
2213,CG,127,2,1,2,1,2,1
2214,CG,127,2,2,1,2,2,2
2215,CG,96,1,2,1,1,1,2
2216,CG,6,1,1,2,1,2,1
2217,CG,103,2,1,1,2,2,2
2218,CG,120,2,2,2,1,2,2
2219,CG,127,2,2,1,2,1,2
2220,CG,64,2,2,2,1,2,1
2221,CG,63,1,2,2,2,1,2
2222,CG,102,2,1,2,2,2,1
2223,CG,30,1,2,1,2,1,2
2224,CG,96,2,1,2,1,2,1
