,Application,variable,Perf_node01_power_energy_pkg_,a,Perf_node01_power_energy_ram_,b,Perf_node01_power_energy_total_,c
452,BT,0,0,2,2,2,0,2
453,BT,0,2,0,0,2,2,0
454,BT,70,2,2,1,0,2,2
455,BT,127,1,2,2,1,1,2
456,BT,0,2,1,1,2,2,1
457,BT,127,2,2,0,1,2,2
458,BT,127,2,2,3,0,3,2
459,BT,0,1,2,0,3,1,3
460,BT,0,2,1,0,0,1,1
461,BT,127,3,2,3,0,3,1
462,BT,0,0,3,0,3,0,3
463,BT,0,1,0,1,0,1,0
464,BT,127,3,1,3,1,3,1
465,BT,0,0,3,0,3,0,3
466,BT,0,1,0,1,0,1,0
467,BT,127,3,1,3,1,3,1
468,BT,0,0,3,0,3,0,3
469,BT,0,1,0,1,0,1,0
470,BT,127,3,1,3,1,3,1
471,BT,1,1,3,0,3,1,3
472,BT,0,1,1,0,0,1,1
473,BT,127,3,1,3,0,3,1
474,BT,0,0,3,1,3,0,3
475,BT,0,1,0,0,1,1,0
476,BT,127,3,1,3,0,3,1
477,BT,0,1,3,0,3,1,3
478,BT,0,1,1,0,0,1,1
479,BT,127,3,1,3,0,3,1
480,BT,0,0,3,0,3,0,3
481,BT,0,1,0,0,0,1,0
482,BT,127,3,1,3,0,3,1
483,BT,0,0,3,0,3,0,3
484,BT,0,1,0,1,0,1,0
485,BT,127,3,1,3,1,3,1
486,BT,0,0,3,0,3,0,3
487,BT,96,2,0,2,0,2,0
488,BT,127,3,2,2,2,3,2
489,BT,0,0,3,1,2,0,3
490,BT,96,2,0,1,1,2,0
491,BT,127,3,2,3,1,3,2
492,BT,0,0,3,0,3,0,3
493,BT,120,2,0,0,0,2,0
494,BT,127,3,2,3,0,3,2
495,BT,0,0,3,0,3,0,3
496,BT,112,2,0,1,0,2,0
497,BT,127,2,2,2,1,2,2
498,BT,0,0,2,2,2,0,2
499,BT,96,2,0,2,2,2,0
500,BT,127,2,2,2,2,2,2
501,BT,0,0,2,2,2,1,2
502,BT,0,1,0,0,2,1,1
503,BT,127,3,1,3,0,3,1
504,BT,0,0,3,2,3,0,3
505,BT,32,2,0,1,2,2,0
506,BT,127,2,2,3,1,2,2
507,BT,127,1,2,2,3,1,2
508,BT,0,2,1,0,2,2,1
509,BT,0,1,2,2,0,1,2
510,BT,127,2,1,3,2,3,1
511,BT,0,1,2,0,3,0,3
512,BT,120,2,1,0,0,2,0
513,BT,127,3,2,3,0,3,2
514,BT,0,0,3,0,3,0,3
515,BT,96,2,0,1,0,2,0
516,BT,127,3,2,3,1,3,2
517,BT,0,0,3,0,3,0,3
518,BT,96,2,0,1,0,2,0
519,BT,127,3,2,3,1,3,2
520,BT,0,0,3,0,3,0,3
521,BT,96,1,0,1,0,1,0
522,BT,127,3,1,3,1,3,1
523,BT,0,0,3,0,3,0,3
524,BT,96,2,0,2,0,2,0
525,BT,127,3,2,1,2,3,2
526,BT,0,0,3,1,1,0,3
527,BT,112,2,0,1,1,2,0
528,BT,127,3,2,3,1,3,2
529,BT,0,0,3,0,3,0,3
530,BT,96,2,0,1,0,2,0
531,BT,127,3,2,3,1,3,2
532,BT,0,0,3,0,3,0,3
533,BT,96,2,0,0,0,2,0
534,BT,127,3,2,3,0,3,2
535,BT,0,0,3,1,3,0,3
536,BT,0,1,0,0,1,1,0
537,BT,127,3,1,3,0,3,1
538,BT,1,0,3,1,3,0,3
539,BT,0,2,0,0,1,2,0
540,BT,127,2,2,1,0,2,2
541,BT,127,1,2,2,1,1,2
542,BT,0,1,1,0,2,1,1
543,BT,127,2,1,3,0,2,1
544,BT,127,3,2,3,3,3,2
545,BT,0,0,3,0,3,0,3
546,BT,64,2,0,0,0,1,0
547,BT,127,3,2,3,0,3,1
548,BT,0,0,3,0,3,0,3
549,BT,64,1,0,1,0,1,0
550,BT,127,3,1,3,1,3,1
551,BT,0,0,3,1,3,0,3
552,BT,0,1,0,0,1,1,0
553,BT,127,3,1,3,0,3,1
554,BT,0,0,3,1,3,0,3
555,BT,0,1,0,0,1,1,0
556,BT,127,3,1,3,0,3,1
557,BT,0,0,3,0,3,0,3
558,BT,124,2,0,3,0,2,0
559,BT,127,3,2,3,3,3,2
560,BT,0,0,3,0,3,0,3
561,BT,112,2,0,2,0,2,0
562,BT,127,3,2,3,2,3,2
563,BT,0,0,3,0,3,0,3
564,BT,64,1,0,1,0,1,0
565,BT,127,3,1,3,1,3,1
566,BT,1,0,3,1,3,0,3
567,BT,0,2,0,0,1,1,0
568,BT,126,2,2,1,0,2,1
569,BT,95,1,2,3,1,1,2
570,BT,0,2,1,0,3,2,1
571,BT,8,2,2,1,0,1,2
572,BT,127,3,2,3,1,3,1
573,BT,0,1,3,0,3,0,3
574,BT,0,1,1,1,0,1,0
575,BT,127,3,1,3,1,3,1
576,BT,0,0,3,0,3,0,3
577,BT,0,1,0,2,0,1,0
578,BT,127,3,1,3,2,3,1
579,BT,0,0,3,0,3,0,3
580,BT,0,2,0,1,0,2,0
581,BT,127,3,2,3,1,3,2
582,BT,0,0,3,0,3,0,3
583,BT,96,2,0,2,0,2,0
584,BT,127,3,2,3,2,3,2
585,BT,0,0,3,0,3,0,3
586,BT,64,1,0,0,0,1,0
587,BT,127,3,1,3,0,3,1
588,BT,0,0,3,0,3,0,3
589,BT,0,1,0,0,0,1,0
590,BT,127,3,1,3,0,3,1
591,BT,0,0,3,0,3,0,3
592,BT,0,1,0,0,0,1,0
593,BT,127,3,1,3,0,3,1
594,BT,0,0,3,1,3,0,3
595,BT,0,1,0,0,1,1,0
596,BT,127,3,1,3,0,3,1
597,BT,1,0,3,1,3,0,3
598,BT,96,2,0,1,1,2,0
599,BT,127,3,2,3,1,3,2
600,BT,0,0,3,1,3,0,3
601,BT,96,2,0,1,1,2,0
602,BT,127,3,2,3,1,3,2
603,BT,0,0,3,0,3,0,3
604,BT,96,2,0,2,0,2,0
605,BT,127,3,2,3,2,3,2
606,BT,0,0,3,0,3,0,3
607,BT,32,1,0,0,0,1,0
608,BT,127,3,1,3,0,3,1
609,BT,0,0,3,1,3,0,3
610,BT,0,2,0,0,1,1,0
611,BT,127,3,2,3,0,3,1
612,BT,1,0,3,2,3,0,3
613,BT,32,2,0,0,2,2,0
614,BT,1,1,2,2,0,2,2
615,BT,127,2,1,3,2,2,2
616,BT,0,1,2,0,3,1,2
617,BT,126,2,1,1,0,2,1
618,BT,127,3,2,3,1,3,2
619,BT,0,0,3,0,3,0,3
620,BT,0,2,0,0,0,1,0
621,BT,127,3,2,3,0,3,1
622,BT,0,0,3,0,3,0,3
623,BT,64,2,0,1,0,1,0
624,BT,127,3,2,3,1,3,1
625,BT,0,0,3,0,3,0,3
626,BT,0,2,0,2,0,2,0
627,BT,127,3,2,2,2,3,2
