,Application,variable,Perf_node01_power_energy_pkg_,a,Perf_node01_power_energy_ram_,b,Perf_node01_power_energy_total_,c
1399,BT,2,2,2,1,0,1,2
1400,BT,127,2,2,3,1,3,1
1401,BT,0,1,2,0,3,0,3
1402,BT,112,2,1,1,0,2,0
1403,BT,127,3,2,3,1,3,2
1404,BT,0,0,3,0,3,0,3
1405,BT,0,2,0,0,0,1,0
1406,BT,127,3,2,3,0,3,1
1407,BT,0,0,3,0,3,0,3
1408,BT,0,1,0,0,0,1,0
1409,BT,127,3,1,3,0,3,1
1410,BT,1,0,3,0,3,0,3
1411,BT,0,1,0,1,0,1,0
1412,BT,127,3,1,3,1,3,1
1413,BT,0,0,3,0,3,0,3
1414,BT,0,1,0,1,0,1,0
1415,BT,127,3,1,3,1,3,1
1416,BT,1,0,3,1,3,1,3
1417,BT,0,1,0,0,1,1,1
1418,BT,127,3,1,3,0,3,1
1419,BT,0,0,3,1,3,0,3
1420,BT,0,1,0,0,1,1,0
1421,BT,127,3,1,3,0,3,1
1422,BT,0,0,3,0,3,0,3
1423,BT,96,2,0,0,0,1,0
1424,BT,127,3,2,3,0,3,1
1425,BT,0,0,3,1,3,0,3
1426,BT,96,2,0,0,1,2,0
1427,BT,127,3,2,3,0,3,2
1428,BT,0,0,3,2,3,0,3
1429,BT,0,2,0,0,2,2,0
1430,BT,127,2,2,3,0,3,2
1431,BT,1,0,2,1,3,0,3
1432,BT,0,2,0,0,1,2,0
1433,BT,127,2,2,3,0,2,2
1434,BT,31,1,2,3,3,1,2
1435,BT,0,2,1,0,3,2,1
1436,BT,4,2,2,0,0,1,2
1437,BT,127,3,2,3,0,3,1
1438,BT,0,0,3,0,3,0,3
1439,BT,32,2,0,2,0,2,0
1440,BT,127,3,2,3,2,3,2
1441,BT,0,0,3,0,3,0,3
1442,BT,64,2,0,2,0,2,0
1443,BT,127,3,2,3,2,3,2
1444,BT,0,0,3,0,3,0,3
1445,BT,0,2,0,2,0,2,0
1446,BT,127,3,2,3,2,3,2
1447,BT,0,0,3,0,3,0,3
1448,BT,0,2,0,1,0,2,0
1449,BT,127,3,2,3,1,3,2
1450,BT,0,0,3,0,3,0,3
1451,BT,0,1,0,1,0,1,0
1452,BT,127,3,1,3,1,3,1
1453,BT,0,0,3,0,3,0,3
1454,BT,0,1,0,0,0,1,0
1455,BT,127,3,1,3,0,3,1
1456,BT,0,0,3,0,3,0,3
1457,BT,0,1,0,0,0,1,0
1458,BT,127,3,1,3,0,3,1
1459,BT,0,0,3,0,3,0,3
1460,BT,0,1,0,0,0,1,0
1461,BT,127,3,1,3,0,3,1
1462,BT,1,1,3,1,3,1,3
1463,BT,0,1,1,0,1,1,1
1464,BT,127,3,1,3,0,3,1
1465,BT,0,0,3,1,3,0,3
1466,BT,0,1,0,0,1,1,0
1467,BT,127,3,1,3,0,3,1
1468,BT,0,0,3,0,3,0,3
1469,BT,0,1,0,1,0,1,0
1470,BT,127,3,1,3,1,3,1
1471,BT,0,0,3,0,3,0,3
1472,BT,0,1,0,2,0,1,0
1473,BT,127,3,1,3,2,3,1
1474,BT,0,0,3,0,3,0,3
1475,BT,0,1,0,0,0,1,0
1476,BT,127,3,1,3,0,3,1
1477,BT,0,0,3,0,3,0,3
1478,BT,96,2,0,1,0,2,0
1479,BT,127,3,2,3,1,3,2
1480,BT,0,0,3,0,3,0,3
1481,BT,96,2,0,2,0,2,0
1482,BT,127,3,2,3,2,3,2
1483,BT,0,0,3,0,3,0,3
1484,BT,112,2,0,1,0,2,0
1485,BT,127,3,2,3,1,3,2
1486,BT,0,0,3,0,3,0,3
1487,BT,120,2,0,2,0,2,0
1488,BT,127,3,2,3,2,3,2
1489,BT,0,0,3,0,3,0,3
1490,BT,112,2,0,2,0,2,0
1491,BT,127,3,2,3,2,3,2
1492,BT,0,0,3,0,3,0,3
1493,BT,112,2,0,0,0,2,0
1494,BT,127,3,2,3,0,3,2
1495,BT,0,0,3,1,3,0,3
1496,BT,96,2,0,1,1,2,0
1497,BT,127,3,2,3,1,3,2
1498,BT,0,0,3,0,3,0,3
1499,BT,96,2,0,0,0,2,0
1500,BT,127,3,2,3,0,3,2
1501,BT,0,0,3,2,3,0,3
1502,BT,64,2,0,0,2,2,0
1503,BT,127,3,2,3,0,3,2
1504,BT,1,0,3,2,3,0,3
1505,BT,0,2,0,0,2,2,0
1506,BT,6,1,2,1,0,1,2
1507,BT,127,2,1,3,1,2,1
1508,BT,0,1,2,0,3,1,2
1509,BT,102,1,1,1,0,1,1
1510,BT,127,3,1,3,1,3,1
1511,BT,0,0,3,0,3,0,3
1512,BT,96,2,0,1,0,2,0
1513,BT,127,3,2,3,1,3,2
1514,BT,0,0,3,0,3,0,3
1515,BT,0,2,0,0,0,1,0
1516,BT,127,3,2,3,0,3,1
1517,BT,0,0,3,0,3,0,3
1518,BT,0,1,0,2,0,1,0
1519,BT,127,3,1,3,2,3,1
1520,BT,1,0,3,0,3,0,3
1521,BT,64,1,0,0,0,1,0
1522,BT,127,3,1,3,0,3,1
1523,BT,0,0,3,1,3,0,3
1524,BT,96,2,0,1,1,2,0
1525,BT,127,3,2,3,1,3,2
1526,BT,0,0,3,1,3,0,3
1527,BT,0,1,0,0,1,1,0
1528,BT,127,3,1,3,0,3,1
1529,BT,1,0,3,1,3,0,3
1530,BT,0,2,0,1,1,2,0
1531,BT,127,2,2,1,1,2,2
1532,BT,15,1,2,3,1,1,2
1533,BT,0,2,1,0,3,1,1
1534,BT,126,2,2,1,0,2,1
1535,BT,127,3,2,3,1,3,2
1536,BT,1,0,3,0,3,0,3
1537,BT,0,0,0,0,0,0,0
