,Application,variable,Perf_node01_power_energy_pkg_,a,Perf_node01_power_energy_ram_,b,Perf_node01_power_energy_total_,c
4257,FT,1,1,2,1,2,1,2
4258,FT,126,2,1,2,1,2,1
4259,FT,0,1,2,1,2,1,2
4260,FT,64,1,1,1,1,1,1
4261,FT,127,2,1,2,1,2,1
4262,FT,0,1,2,1,2,1,2
4263,FT,127,2,1,2,1,2,1
4264,FT,63,1,2,2,2,1,2
4265,FT,64,1,1,1,2,1,1
4266,FT,0,1,1,1,1,1,1
4267,FT,0,1,1,1,1,1,1
4268,FT,0,1,1,1,1,1,1
4269,FT,0,0,1,0,1,0,1
4270,FT,96,1,0,0,0,1,0
4271,FT,127,2,1,3,0,3,1
4272,FT,127,3,2,3,3,3,3
4273,FT,1,1,3,1,3,1,3
4274,FT,56,1,1,2,1,1,1
4275,FT,0,1,1,1,2,1,1
4276,FT,127,2,1,2,1,2,1
4277,FT,99,2,2,1,2,2,2
4278,FT,0,1,2,1,1,1,2
4279,FT,64,1,1,2,1,1,1
4280,FT,127,2,1,2,2,2,1
4281,FT,1,1,2,1,2,1,2
4282,FT,127,2,1,2,1,2,1
4283,FT,1,1,2,1,2,1,2
4284,FT,0,1,1,1,1,1,1
4285,FT,127,2,1,2,1,2,1
4286,FT,3,1,2,1,2,1,2
4287,FT,126,2,1,2,1,2,1
4288,FT,1,1,2,1,2,1,2
4289,FT,0,0,1,0,1,0,1
4290,FT,124,2,0,0,0,2,0
4291,FT,127,3,2,3,0,3,2
4292,FT,127,2,3,2,3,2,3
4293,FT,1,1,2,1,2,1,2
4294,FT,126,2,1,1,1,2,1
4295,FT,96,2,2,2,1,2,2
4296,FT,7,1,2,1,2,1,2
4297,FT,126,2,1,2,1,2,1
4298,FT,0,1,2,1,2,1,2
4299,FT,0,0,1,1,1,0,1
4300,FT,0,1,0,0,1,1,0
4301,FT,127,3,1,3,0,3,1
4302,FT,63,2,3,3,3,2,3
4303,FT,0,1,2,1,3,1,2
4304,FT,127,2,1,2,1,2,1
4305,FT,1,1,2,1,2,1,2
4306,FT,94,1,1,2,1,1,1
4307,FT,127,2,1,2,2,2,1
4308,FT,95,1,2,1,2,1,2
4309,FT,126,2,1,2,1,2,1
4310,FT,0,1,2,1,2,1,2
4311,FT,126,2,1,2,1,2,1
4312,FT,0,1,2,1,2,1,2
4313,FT,127,2,1,2,1,2,1
4314,FT,127,2,2,2,2,2,2
4315,FT,1,1,2,1,2,1,2
4316,FT,126,2,1,2,1,2,1
4317,FT,0,1,2,1,2,1,2
4318,FT,0,1,1,1,1,1,1
4319,FT,127,2,1,2,1,2,1
4320,FT,25,1,2,1,2,1,2
4321,FT,126,2,1,2,1,2,1
4322,FT,1,1,2,1,2,1,2
4323,FT,126,2,1,1,1,2,1
4324,FT,126,2,2,2,1,2,2
4325,FT,1,1,2,1,2,1,2
4326,FT,126,2,1,2,1,2,1
4327,FT,1,1,2,1,2,1,2
4328,FT,0,1,1,1,1,1,1
4329,FT,0,0,1,0,1,0,1
4330,FT,127,3,0,3,0,3,0
4331,FT,63,2,3,3,3,2,3
4332,FT,0,1,2,1,3,1,2
4333,FT,126,2,1,1,1,2,1
4334,FT,124,2,2,2,1,2,2
4335,FT,3,1,2,1,2,1,2
4336,FT,126,2,1,2,1,2,1
4337,FT,1,1,2,1,2,1,2
4338,FT,120,2,1,2,1,2,1
4339,FT,127,2,2,2,2,2,2
4340,FT,1,1,2,1,2,1,2
4341,FT,127,2,1,2,1,2,1
4342,FT,3,1,2,1,2,1,2
4343,FT,0,1,1,1,1,1,1
4344,FT,126,2,1,2,1,2,1
4345,FT,1,1,2,1,2,1,2
4346,FT,126,2,1,2,1,2,1
4347,FT,0,1,2,1,2,1,2
4348,FT,0,1,1,0,1,1,1
4349,FT,127,3,1,3,0,3,1
4350,FT,127,1,3,2,3,1,3
4351,FT,127,2,1,2,2,2,1
4352,FT,1,1,2,1,2,1,2
4353,FT,64,1,1,1,1,1,1
4354,FT,127,2,1,2,1,2,1
4355,FT,1,1,2,1,2,1,2
4356,FT,0,1,1,1,1,1,1
4357,FT,0,0,1,0,1,0,1
4358,FT,0,1,0,0,0,0,0
4359,FT,127,3,1,3,0,3,0
4360,FT,31,1,3,3,3,2,3
4361,FT,96,2,1,2,3,2,2
4362,FT,127,2,2,2,2,2,2
4363,FT,127,3,2,3,2,3,2
4364,FT,127,2,3,2,3,2,3
4365,FT,0,1,2,1,2,1,2
4366,FT,0,1,1,1,1,1,1
4367,FT,0,1,1,1,1,1,1
4368,FT,127,2,1,3,1,2,1
4369,FT,1,1,2,1,3,1,2
4370,FT,126,2,1,2,1,2,1
4371,FT,0,1,2,1,2,1,2
4372,FT,0,1,1,2,1,1,1
4373,FT,0,2,1,1,2,1,1
4374,FT,95,1,2,1,1,1,1
4375,FT,127,2,1,2,1,2,1
4376,FT,0,0,2,0,2,0,2
4377,FT,126,3,0,2,0,3,0
4378,FT,127,2,3,3,2,3,3
4379,FT,127,1,2,1,3,1,3
4380,FT,127,2,1,2,1,2,1
4381,FT,1,1,2,1,2,1,2
4382,FT,127,2,1,2,1,2,1
4383,FT,0,1,2,1,2,1,2
4384,FT,0,1,1,1,1,1,1
4385,FT,0,1,1,1,1,1,1
4386,FT,0,0,1,0,1,0,1
4387,FT,0,1,0,0,0,1,0
4388,FT,127,3,1,3,0,3,1
4389,FT,63,2,3,3,3,2,3
4390,FT,0,1,2,1,3,1,2
4391,FT,31,1,1,1,1,1,1
4392,FT,127,2,1,2,1,2,1
4393,FT,1,1,2,1,2,1,2
4394,FT,126,2,1,2,1,2,1
4395,FT,1,1,2,1,2,1,2
4396,FT,126,2,1,2,1,2,1
4397,FT,127,2,2,2,2,2,2
4398,FT,1,1,2,1,2,1,2
4399,FT,120,2,1,2,1,2,1
4400,FT,1,1,2,1,2,1,2
4401,FT,92,2,1,1,1,1,1
4402,FT,127,2,2,2,1,2,1
4403,FT,1,1,2,1,2,1,2
4404,FT,127,2,1,2,1,2,1
4405,FT,0,0,2,0,2,0,2
4406,FT,126,2,0,1,0,2,0
4407,FT,63,2,2,3,1,2,2
4408,FT,4,1,2,1,3,1,2
4409,FT,127,2,1,2,1,2,1
4410,FT,1,1,2,1,2,1,2
4411,FT,126,2,1,2,1,2,1
4412,FT,127,2,2,1,2,2,2
4413,FT,1,1,2,1,1,1,2
4414,FT,0,1,1,1,1,1,1
4415,FT,0,0,1,0,1,0,1
4416,FT,0,1,0,0,0,0,0
4417,FT,127,3,1,3,0,3,0
4418,FT,11,1,3,3,3,2,3
4419,FT,124,2,1,2,3,2,2
4420,FT,1,1,2,1,2,1,2
4421,FT,126,2,1,2,1,2,1
4422,FT,7,1,2,1,2,1,2
4423,FT,127,2,1,1,1,2,1
4424,FT,96,2,2,2,1,2,2
4425,FT,127,2,2,2,2,2,2
4426,FT,0,1,2,1,2,1,2
4427,FT,6,1,1,1,1,1,1
4428,FT,127,2,1,2,1,2,1
4429,FT,1,1,2,1,2,1,2
4430,FT,127,2,1,2,1,2,1
4431,FT,0,1,2,1,2,1,2
4432,FT,124,2,1,2,1,2,1
4433,FT,127,2,2,2,2,2,2
4434,FT,0,0,2,0,2,0,2
4435,FT,102,2,0,0,0,2,0
4436,FT,57,2,2,3,0,3,2
4437,FT,127,2,2,3,3,2,3
4438,FT,127,2,2,2,3,2,2
4439,FT,1,1,2,1,2,1,2
4440,FT,0,1,1,1,1,1,1
4441,FT,0,1,1,1,1,1,1
4442,FT,0,1,1,1,1,1,1
4443,FT,0,1,1,1,1,1,1
4444,FT,0,0,1,1,1,0,1
4445,FT,0,1,0,0,1,1,0
4446,FT,127,3,1,3,0,3,1
4447,FT,11,1,3,3,3,2,3
4448,FT,0,1,1,1,3,1,2
4449,FT,122,2,1,2,1,2,1
4450,FT,126,2,2,1,2,2,2
4451,FT,1,1,2,2,1,1,2
4452,FT,0,1,1,1,2,1,1
4453,FT,127,2,1,2,1,2,1
4454,FT,127,2,2,2,2,2,2
4455,FT,0,1,2,1,2,1,2
4456,FT,125,2,1,2,1,2,1
4457,FT,0,1,2,1,2,1,2
4458,FT,127,2,1,2,1,2,1
4459,FT,127,2,2,2,2,2,2
4460,FT,0,1,2,1,2,1,2
4461,FT,96,2,1,2,1,2,1
4462,FT,126,2,2,1,2,2,2
4463,FT,0,1,2,1,1,1,2
4464,FT,0,1,1,1,1,1,1
4465,FT,25,2,1,1,1,2,1
