,Application,Perf_node01_task_clock,Perf_node01_cpu_bus_cycles_,Perf_node01_cpu_cpu_cycles_,Perf_node01_msr_aperf_,Perf_node01_msr_mperf_,Perf_node01_msr_tsc_,Perf_node01_cpu_ref_cycles_,Perf_node01_power_energy_pkg_,Perf_node01_power_energy_ram_,Perf_node01_power_energy_total_
7098,SP,11,11,11,11,11,11,11,2,2,2
7099,SP,11,11,11,11,11,11,11,2,2,2
7100,SP,11,10,10,10,10,10,10,1,1,1
7101,SP,11,11,11,11,11,11,11,2,2,2
7102,SP,10,10,10,10,10,10,10,1,1,1
7103,SP,11,11,11,11,11,11,11,2,2,2
7104,SP,10,10,10,10,10,10,10,0,0,0
7105,SP,11,11,11,11,11,11,11,3,3,3
7106,SP,11,11,11,11,10,10,10,1,1,1
7107,SP,10,11,11,11,11,11,11,2,2,2
7108,SP,11,11,11,11,11,11,11,2,2,2
7109,SP,10,10,10,10,10,10,10,1,1,1
7110,SP,10,11,11,10,11,11,11,2,2,2
7111,SP,11,11,11,11,10,10,10,1,1,1
7112,SP,10,10,10,10,10,11,11,2,2,2
7113,SP,11,11,11,11,11,11,11,2,2,2
7114,SP,10,10,10,10,10,10,10,1,1,1
7115,SP,11,11,11,11,11,11,11,2,2,2
7116,SP,11,10,10,10,10,10,10,0,0,0
7117,SP,10,10,11,11,11,11,11,2,2,2
7118,SP,11,11,11,11,11,11,11,2,2,2
7119,SP,11,10,10,10,10,10,10,1,1,1
7120,SP,11,11,11,11,11,11,11,2,2,2
7121,SP,10,10,10,10,10,10,10,1,1,1
7122,SP,11,11,11,11,11,11,11,2,2,2
7123,SP,10,10,10,10,10,10,10,0,0,0
7124,SP,11,11,11,11,11,11,11,3,3,3
7125,SP,11,11,11,11,11,11,11,1,2,2
7126,SP,11,11,11,11,11,11,11,2,1,2
7127,SP,11,11,11,11,11,11,11,2,2,2
7128,SP,10,10,10,10,10,10,10,1,1,1
7129,SP,10,11,11,11,11,11,11,2,2,2
7130,SP,10,10,10,10,10,10,10,1,0,1
7131,SP,10,11,11,11,11,11,11,2,3,3
7132,SP,11,11,11,11,11,10,10,1,1,1
7133,SP,10,10,10,10,10,10,10,1,1,1
7134,SP,11,11,11,11,11,11,11,2,1,2
7135,SP,10,10,10,10,10,10,10,1,1,1
7136,SP,11,11,11,11,11,11,11,2,2,2
7137,SP,10,11,11,11,11,10,11,1,1,1
7138,SP,11,11,11,11,11,11,10,1,2,2
7139,SP,11,11,11,11,11,11,11,2,2,2
7140,SP,10,10,10,10,10,10,10,1,1,1
7141,SP,11,11,11,11,11,11,11,2,2,2
7142,SP,10,10,10,10,10,10,10,1,1,1
7143,SP,11,11,11,10,10,11,11,2,1,2
7144,SP,10,10,10,10,10,10,10,1,1,1
7145,SP,11,11,11,11,11,11,11,2,2,2
7146,SP,11,11,11,11,11,11,11,2,2,2
7147,SP,10,10,10,10,10,10,10,1,1,1
7148,SP,11,11,11,11,11,11,11,2,2,2
7149,SP,10,10,10,10,10,10,10,0,0,0
7150,SP,10,11,11,11,11,11,11,3,3,3
7151,SP,11,11,11,11,11,10,10,1,1,1
7152,SP,10,10,10,10,10,11,11,2,2,2
7153,SP,11,11,11,11,11,11,11,2,2,2
7154,SP,10,10,10,10,10,10,10,0,0,0
7155,SP,11,11,11,11,11,11,11,3,3,3
7156,SP,10,10,10,10,10,10,10,1,1,1
7157,SP,11,11,11,11,11,11,11,2,2,2
7158,SP,11,11,11,11,11,11,11,2,2,2
7159,SP,10,10,10,10,10,10,10,1,1,1
7160,SP,10,11,11,11,11,11,11,2,2,2
7161,SP,11,11,10,10,10,10,10,1,1,1
7162,SP,10,10,10,10,11,11,11,2,2,2
7163,SP,11,11,11,11,11,11,11,2,2,2
7164,SP,10,10,10,10,10,10,10,1,1,1
7165,SP,11,11,11,11,11,11,11,2,2,2
7166,SP,10,10,10,10,10,10,10,0,0,0
7167,SP,11,11,11,11,11,11,11,3,3,3
7168,SP,10,10,10,10,10,10,10,1,1,1
7169,SP,11,11,11,11,11,11,11,2,2,2
7170,SP,11,11,11,11,11,11,11,2,2,2
7171,SP,11,10,10,10,10,10,10,1,1,1
7172,SP,10,10,10,10,10,11,11,2,2,2
7173,SP,11,11,10,10,10,10,10,1,1,1
7174,SP,10,10,10,10,11,11,11,2,2,2
7175,SP,11,11,11,11,11,10,11,1,1,1
7176,SP,10,10,10,10,10,10,10,1,1,1
7177,SP,11,11,11,11,11,11,11,2,2,2
7178,SP,10,10,10,10,10,10,10,0,0,0
7179,SP,11,11,11,11,11,11,11,3,3,3
7180,SP,11,11,11,10,10,10,10,1,1,1
7181,SP,10,11,11,11,11,11,11,2,2,2
7182,SP,11,11,11,11,11,11,11,2,2,2
7183,SP,10,10,10,10,10,10,10,1,1,1
7184,SP,10,11,11,10,10,11,11,2,1,2
7185,SP,11,10,10,10,10,10,10,1,1,1
7186,SP,10,10,10,10,11,11,11,2,2,2
7187,SP,11,11,11,11,11,11,11,1,2,1
7188,SP,10,10,10,10,10,10,10,1,1,1
7189,SP,11,11,11,11,11,11,11,2,2,2
7190,SP,10,10,10,10,10,10,10,1,1,1
7191,SP,11,11,11,11,11,11,11,2,2,2
7192,SP,10,10,10,10,10,10,10,1,1,1
7193,SP,11,11,11,11,11,11,11,2,2,2
7194,SP,11,11,11,11,11,11,11,2,2,2
7195,SP,10,10,10,10,10,10,10,1,1,1
7196,SP,10,11,11,11,11,11,11,2,2,2
7197,SP,10,10,10,10,10,10,10,0,0,0
7198,SP,10,11,11,11,11,11,11,3,3,3
7199,SP,11,11,11,11,11,10,10,1,1,1
7200,SP,10,10,10,10,10,11,11,2,1,2
7201,SP,11,11,11,11,11,11,11,2,2,2
7202,SP,10,10,10,10,10,10,10,0,0,0
7203,SP,11,11,11,11,11,11,11,3,3,3
7204,SP,11,11,11,10,10,10,10,1,1,1
7205,SP,11,11,11,11,11,11,11,2,2,2
7206,SP,11,11,11,11,11,11,11,2,2,2
7207,SP,10,10,10,10,10,10,10,1,1,1
7208,SP,10,11,11,11,11,11,11,2,2,2
7209,SP,10,10,10,10,10,10,10,0,1,1
7210,SP,10,11,11,11,11,11,11,2,2,2
7211,SP,11,11,11,10,10,10,10,1,1,1
7212,SP,10,10,10,10,10,11,11,2,2,2
7213,SP,11,11,11,11,11,11,11,2,2,2
7214,SP,10,10,10,10,10,10,10,1,1,1
7215,SP,10,11,10,10,11,11,11,2,2,2
7216,SP,11,11,11,11,11,11,11,2,2,2
7217,SP,10,10,10,10,10,10,10,1,1,1
7218,SP,11,11,11,11,11,11,11,2,2,2
7219,SP,10,10,10,10,10,10,10,1,1,1
7220,SP,11,11,11,11,11,11,11,2,2,2
7221,SP,11,10,10,10,10,10,10,1,1,1
7222,SP,10,10,10,10,10,11,11,2,2,2
7223,SP,10,10,10,10,10,10,10,1,1,1
7224,SP,10,10,10,11,11,11,11,2,2,2
7225,SP,11,11,11,11,11,11,10,1,1,1
7226,SP,10,10,10,10,10,11,11,1,2,2
7227,SP,11,11,11,11,11,11,11,2,2,2
7228,SP,10,10,10,10,10,10,10,1,1,1
7229,SP,11,11,11,11,11,11,11,2,2,2
7230,SP,11,10,10,10,10,10,10,1,1,1
7231,SP,10,10,10,10,10,11,11,2,2,2
7232,SP,11,11,11,11,11,11,11,2,2,2
7233,SP,10,10,10,10,10,10,10,1,1,1
7234,SP,11,11,11,11,11,11,11,2,2,2
7235,SP,10,10,10,10,10,10,10,0,0,0
7236,SP,11,11,11,11,11,11,11,3,3,3
7237,SP,11,10,11,11,10,10,10,1,1,1
7238,SP,11,11,11,11,11,11,10,2,1,2
7239,SP,11,11,11,11,11,11,11,2,3,2
7240,SP,10,10,10,10,10,10,10,0,0,0
7241,SP,10,11,11,11,11,11,11,2,2,2
7242,SP,10,10,10,10,10,10,10,0,1,0
7243,SP,10,11,11,11,11,11,11,3,3,3
7244,SP,11,11,11,11,11,10,10,1,1,1
7245,SP,10,10,10,10,10,11,11,2,2,2
7246,SP,11,11,11,11,11,11,11,2,2,2
